"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","162","getOrderByTrackWithWrongTrack","","","passed","","","ru.yandex.praktikum.order.GetOrderByTrackTest","ru.yandex.praktikum.order.GetOrderByTrackTest",""
"","137","createCourierNoLogin","","","passed","","","ru.yandex.praktikum.courier.CreateCourierTest","ru.yandex.praktikum.courier.CreateCourierTest",""
"","1103","acceptOrderWithoutCourierId","","","passed","","","ru.yandex.praktikum.order.AcceptOrderTest","ru.yandex.praktikum.order.AcceptOrderTest",""
"","1339","acceptOrderAlreadyInWork","","","passed","","","ru.yandex.praktikum.order.AcceptOrderTest","ru.yandex.praktikum.order.AcceptOrderTest",""
"","688","acceptOrderWithWrongOrderId","","","passed","","","ru.yandex.praktikum.order.AcceptOrderTest","ru.yandex.praktikum.order.AcceptOrderTest",""
"","684","loginCourierWrongPassword","","","passed","","","ru.yandex.praktikum.courier.LoginCourierTest","ru.yandex.praktikum.courier.LoginCourierTest",""
"","145","createCourierNoPassword","","","passed","","","ru.yandex.praktikum.courier.CreateCourierTest","ru.yandex.praktikum.courier.CreateCourierTest",""
"","191","createOrderWithBlackColor","","","passed","","","ru.yandex.praktikum.order.CreateOrderTest","ru.yandex.praktikum.order.CreateOrderTest",""
"","18449","getOrdersList","","","passed","","","ru.yandex.praktikum.order.GetOrdersTest","ru.yandex.praktikum.order.GetOrdersTest",""
"","598","loginCourierWrongLogin","","","passed","","","ru.yandex.praktikum.courier.LoginCourierTest","ru.yandex.praktikum.courier.LoginCourierTest",""
"","345","getOrderByTrackSuccess","","","passed","","","ru.yandex.praktikum.order.GetOrderByTrackTest","ru.yandex.praktikum.order.GetOrderByTrackTest",""
"","437","createCourierSuccess","","","passed","","","ru.yandex.praktikum.courier.CreateCourierTest","ru.yandex.praktikum.courier.CreateCourierTest",""
"","5593","acceptOrderWithoutOrderId","","","failed","","","ru.yandex.praktikum.order.AcceptOrderTest","ru.yandex.praktikum.order.AcceptOrderTest",""
"","133","deleteCourierWithWrongId","","","failed","","","ru.yandex.praktikum.courier.DeleteCourierTest","ru.yandex.praktikum.courier.DeleteCourierTest",""
"","95","deleteCourierWithoutId","","","failed","","","ru.yandex.praktikum.courier.DeleteCourierTest","ru.yandex.praktikum.courier.DeleteCourierTest",""
"","804","getOrdersByCourierId","","","passed","","","ru.yandex.praktikum.order.GetOrdersTest","ru.yandex.praktikum.order.GetOrdersTest",""
"","171","createOrderWithBothColors","","","passed","","","ru.yandex.praktikum.order.CreateOrderTest","ru.yandex.praktikum.order.CreateOrderTest",""
"","140","getOrdersByCourierIdWithWrongId","","","passed","","","ru.yandex.praktikum.order.GetOrdersTest","ru.yandex.praktikum.order.GetOrdersTest",""
"","604","createCourierDuplicateLogin","","","failed","","","ru.yandex.praktikum.courier.CreateCourierTest","ru.yandex.praktikum.courier.CreateCourierTest",""
"","588","loginCourierNoPassword","","","passed","","","ru.yandex.praktikum.courier.LoginCourierTest","ru.yandex.praktikum.courier.LoginCourierTest",""
"","158","getOrderByTrackWithoutTrack","","","passed","","","ru.yandex.praktikum.order.GetOrderByTrackTest","ru.yandex.praktikum.order.GetOrderByTrackTest",""
"","1074","acceptOrderSuccess","","","passed","","","ru.yandex.praktikum.order.AcceptOrderTest","ru.yandex.praktikum.order.AcceptOrderTest",""
"","141","createOrderWithoutColor","","","passed","","","ru.yandex.praktikum.order.CreateOrderTest","ru.yandex.praktikum.order.CreateOrderTest",""
"","176","createOrderWithGreyColor","","","passed","","","ru.yandex.praktikum.order.CreateOrderTest","ru.yandex.praktikum.order.CreateOrderTest",""
"","1026","acceptOrderWithWrongCourierId","","","passed","","","ru.yandex.praktikum.order.AcceptOrderTest","ru.yandex.praktikum.order.AcceptOrderTest",""
"","495","loginCourierSuccess","","","passed","","","ru.yandex.praktikum.courier.LoginCourierTest","ru.yandex.praktikum.courier.LoginCourierTest",""
"","976","deleteCourierSuccess","","","passed","","","ru.yandex.praktikum.courier.DeleteCourierTest","ru.yandex.praktikum.courier.DeleteCourierTest",""
